ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,75.32%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,45.79%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,21.08%
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,59.90%
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,9.57%
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,7.86%
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,17.23%
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,11.35%
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,2.77%
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,3.79%
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,16.27%
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,7.05%
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,80.28%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,47.58%
15,3Sum,/problems/3sum,N,32.3%,Medium,41.75%
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,13.37%
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,9.19%
18,4Sum,/problems/4sum,N,36.4%,Medium,21.69%
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,14.85%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,5.64%
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,19.83%
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,24.86%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,20.89%
24,Swap Nodes in Pairs,/problems/swap-nodes-in-pairs,N,60.5%,Medium,2.83%
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,25.08%
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,20.47%
27,Remove Element,/problems/remove-element,N,52.2%,Easy,3.15%
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,5.29%
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,2.83%
30,Substring with Concatenation of All Words,/problems/substring-with-concatenation-of-all-words,N,30.9%,Hard,21.25%
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,51.09%
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,5.01%
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,15.41%
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,7.97%
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,18.69%
36,Valid Sudoku,/problems/valid-sudoku,N,56.9%,Medium,62.92%
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,27.35%
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,7.37%
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,5.02%
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,7.49%
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,29.99%
44,Wildcard Matching,/problems/wildcard-matching,N,26.8%,Hard,15.60%
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,23.09%
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,33.75%
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,17.45%
51,N-Queens,/problems/n-queens,N,63.1%,Hard,7.22%
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,40.39%
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,19.88%
55,Jump Game,/problems/jump-game,N,38.5%,Medium,8.61%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,51.43%
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,8.13%
58,Length of Last Word,/problems/length-of-last-word,N,40.8%,Easy,10.37%
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,19.13%
66,Plus One,/problems/plus-one,N,43.4%,Easy,14.48%
67,Add Binary,/problems/add-binary,N,51.4%,Easy,10.17%
69,Sqrt(x),/problems/sqrtx,N,37.1%,Easy,6.13%
70,Climbing Stairs,/problems/climbing-stairs,N,51.8%,Easy,8.17%
72,Edit Distance,/problems/edit-distance,N,52.7%,Hard,6.17%
73,Set Matrix Zeroes,/problems/set-matrix-zeroes,N,50.1%,Medium,3.17%
74,Search a 2D Matrix,/problems/search-a-2d-matrix,N,47.0%,Medium,24.88%
75,Sort Colors,/problems/sort-colors,N,57.4%,Medium,21.21%
76,Minimum Window Substring,/problems/minimum-window-substring,N,40.7%,Hard,13.89%
78,Subsets,/problems/subsets,N,74.0%,Medium,2.72%
79,Word Search,/problems/word-search,N,39.8%,Medium,17.27%
83,Remove Duplicates from Sorted List,/problems/remove-duplicates-from-sorted-list,N,49.9%,Easy,2.57%
84,Largest Rectangle in Histogram,/problems/largest-rectangle-in-histogram,N,42.2%,Hard,18.27%
86,Partition List,/problems/partition-list,N,51.4%,Medium,9.87%
88,Merge Sorted Array,/problems/merge-sorted-array,N,45.8%,Easy,1.33%
90,Subsets II,/problems/subsets-ii,N,55.4%,Medium,10.50%
92,Reverse Linked List II,/problems/reverse-linked-list-ii,N,45.4%,Medium,6.80%
93,Restore IP Addresses,/problems/restore-ip-addresses,N,43.5%,Medium,16.15%
96,Unique Binary Search Trees,/problems/unique-binary-search-trees,N,59.3%,Medium,39.85%
97,Interleaving String,/problems/interleaving-string,N,37.1%,Medium,9.40%
98,Validate Binary Search Tree,/problems/validate-binary-search-tree,N,31.8%,Medium,8.54%
100,Same Tree,/problems/same-tree,N,56.4%,Easy,4.04%
101,Symmetric Tree,/problems/symmetric-tree,N,53.0%,Easy,8.47%
103,Binary Tree Zigzag Level Order Traversal,/problems/binary-tree-zigzag-level-order-traversal,N,55.2%,Medium,4.73%
104,Maximum Depth of Binary Tree,/problems/maximum-depth-of-binary-tree,N,73.2%,Easy,8.40%
105,Construct Binary Tree from Preorder and Inorder Traversal,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,N,60.8%,Medium,4.42%
115,Distinct Subsequences,/problems/distinct-subsequences,N,43.8%,Hard,12.06%
